finding_id,title,component,severity,status,duplicate_of,evidence,root_cause,impact,proposed_correction,acceptance_test,related_commit,related_deployment,owner,target_date,residual_risk,order_ref_masked,issue_ref_masked,source_kind,detected_at
SF-0c3314c276cf3ce1,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ce03ef85a845f191,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""-30"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_1705ea047fe9,iss_7a0d04115d6f,HUMAN_REVIEW,2026-08-06T15:03:59.513+00:00
SF-0cacda0f1e304082,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-6e82ccd32435fb0c,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""OTH"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_a09a48380e06,iss_f13fd65ba7ba,HUMAN_REVIEW,2026-07-01T11:28:21+00:00
SF-0d0924a7a0faa7e1,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ff5d384657fee69c,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""SF"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_c59eca0893cf,iss_9ce303b14b28,HUMAN_REVIEW,2026-07-21T10:18:15+00:00
SF-0e8a075792969dbe,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ce03ef85a845f191,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""-30"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_cac9b4ed9c06,iss_a1182176421e,HUMAN_REVIEW,2026-07-24T22:15:49.669+00:00
SF-0eaf7aa97d0a9faa,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ff5d384657fee69c,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""SF"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_7793144c4eee,iss_289cd056135c,HUMAN_REVIEW,2026-06-15T14:19:19+00:00
SF-11a84d54e26eabd4,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-51063007afc458c9,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""AS"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_326582f025a2,iss_c9fce63f6e23,HUMAN_REVIEW,2026-07-10T11:29:33+00:00
SF-13ff44432e48fdac,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ff5d384657fee69c,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""SF"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_033306389ab4,iss_04200bc9caa3,HUMAN_REVIEW,2026-07-20T10:25:44+00:00
SF-14d5378183a5f95c,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ce03ef85a845f191,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""-30"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_60d1cbd93e0a,iss_2cc648b2ca16,HUMAN_REVIEW,2026-08-04T13:39:24.658+00:00
SF-15ae13d20c91d58b,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ff5d384657fee69c,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""SF"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_24bb3ee8ec6f,iss_8dccd93221c1,HUMAN_REVIEW,2026-06-22T15:27:01+00:00
SF-161717b6f71bcc76,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-51063007afc458c9,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""AS"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_376123a2a5ea,iss_c266fbad1e3e,HUMAN_REVIEW,2026-07-16T15:26:40+00:00
SF-16982aa4437e75cf,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ff5d384657fee69c,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""SF"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_56ec8a2d803b,iss_67bcc9ca2ca1,HUMAN_REVIEW,2026-07-27T18:12:33+00:00
SF-17c434b32ea78a42,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-ff5d384657fee69c,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""SF"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_6c63987dde0b,iss_f3670abfb557,HUMAN_REVIEW,2026-07-03T10:28:25+00:00
SF-181b2285c9101b64,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-6e82ccd32435fb0c,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""OTH"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_5e4c642a3154,iss_009206c3287d,HUMAN_REVIEW,2026-07-21T11:23:10+00:00
SF-1ac2ad5436ca08f2,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-51063007afc458c9,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""AS"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_abf989218c32,iss_10081e2d79db,HUMAN_REVIEW,2026-07-28T11:26:46+00:00
SF-1aeb6156bce0424a,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-51063007afc458c9,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""AS"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_405235a214a7,iss_fcfdffd170d2,HUMAN_REVIEW,2026-07-28T15:26:29+00:00
SF-1bf59fb2b0baa4d0,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,OPEN,,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":null,""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La fuente no aporta c??digo GLS; no existe una clave clasificable.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_39fba890e6bf,iss_9c61362e0638,HUMAN_REVIEW,2026-08-03T15:19:45.929+00:00
SF-20fd1bbbe67ed945,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-51063007afc458c9,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""AS"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_8af78a7837e9,iss_0ed792b20255,HUMAN_REVIEW,2026-07-09T23:25:21+00:00
SF-215b13d51587dc07,Incidencia GLS abstendida por c??digo desconocido,GLS_INCIDENT_REVIEW,HIGH,DUPLICATE,SF-51063007afc458c9,"{""risk"":""HIGH"",""priority"":""NORMAL"",""carrier_code"":""AS"",""review_reasons"":[""DROPEA_CARRIER_CODE_UNKNOWN"",""HUMAN_REVIEW"",""UNKNOWN_CARRIER_CODE""],""normalized_type"":""UNKNOWN""}",La incidencia hereda un c??digo GLS no verificado en el cat??logo.,La decisi??n queda bloqueada; no se permite automatizaci??n sobre la incidencia.,Resolver el hallazgo ra??z del c??digo y reevaluar este caso conservando su trazabilidad.,La incidencia obtiene clasificaci??n explicable o permanece UNKNOWN con bloqueo expl??cito.,,,Suleia Operations,,HIGH mientras siga sin clasificaci??n.,ord_35794cf27cfe,iss_622ee8510637,HUMAN_REVIEW,2026-07-06T12:25:02+00:00
