domain,canonical_concept,physical_source,field_or_rule,cardinality,semantic_status,external_provenance,notes
conversation,valid_reply_after_issue,read_models.operations_incident_context,customer_replied_after_issue,derived boolean,DEFINED_INTERNAL,Link plus relevance rule,Measured 0
conversation,customer_intent,read_models.operations_incident_interpretations,customer_intent,0..1,PARTIAL,Conversation interpretation,Not a carrier mapping
conversation,interpretation_confidence,read_models.operations_incident_interpretations,interpretation_confidence,0..1,PARTIAL,Conversation interpretation,Must be labeled separately from mapping status
decision,simulation_id,operations.incident_simulation_decisions,simulation_id,1 per evaluation,VERIFIED,Internal shadow processor,Simulation only
decision,input_identity,operations.incident_simulation_decisions,"issue_version + source_event_id + policy_version",1 composite key,PARTIAL,Internal shadow processor,No explicit normalized input hash/diff
decision,result,operations.incident_simulation_decisions,simulated_decision and blocking_reasons,1,VERIFIED,Internal shadow processor,All 37 currently BLOCKED
decision,policy_version,operations.incident_simulation_decisions,policy_version,1,UNRESOLVED,Internal string reference,Configuration policy tables are empty
decision,human_review,operations.incident_simulation_decisions,human_review,1,VERIFIED,Internal QA,All 37 true
timer,timer_id,operations.incident_timers,timer_id,1 per timer,VERIFIED,Internal shadow processor,No external action authorization
timer,persisted_status,operations.incident_timers,status,1,VERIFIED,Internal timer record,Can remain ACTIVE after due_at
timer,effective_status,DERIVED,"CASE WHEN status=ACTIVE AND due_at<=now() THEN EXPIRED_EFFECTIVE ELSE status END",1,PROPOSED_READ_CONTRACT,Database clock,Does not mutate or fire actions
timer,due_at,operations.incident_timers,due_at,1,VERIFIED,Internal policy calculation,16 of 18 past due while ACTIVE
freshness,dropea_freshness,read_models.operations_data_freshness,freshness and last_successful_sync_at,per market/store/resource,VERIFIED,Dropea sync checkpoints,Current deployed threshold verified as 600s
freshness,chatby_freshness,operations.chatby_conversation_links,conversation_freshness and observed_at,per linked incident,VERIFIED_AS_OBSERVED,Chatby snapshot,Worker currently 401/unhealthy
freshness,decision_freshness,DERIVED,all required sources fresh at evaluation time,per decision,PROPOSED_READ_CONTRACT,Composite source rule,Must fail closed when Chatby is required and stale
mapping,gls_NAM,integration.carrier_issue_code_registry,NAM -> RECIPIENT_ABSENT,1 registry row,VERIFIED,Observed GLS data and verified registry,100 occurrences
mapping,gls_DI,integration.carrier_issue_code_registry,DI -> ADDRESS_INCORRECT,1 registry row,VERIFIED,Observed GLS data and verified registry,11 occurrences
mapping,gls_unknown_codes,integration.carrier_issue_code_registry,"AS|SF|-30|OTH|return literal",5 registry rows,UNMAPPED,Observed GLS data,No invented mapping; -30 is polymorphic
economics,observation,economics.observations,"metric + value + currency + value_status + source + observed_at",0..N,PARTIAL,Internal shadow observations,760 rows; generic metric bag
economics,commercial_order_value,read_models.operations_order_records,total_amount,0..1 per order,VERIFIED,Dropea order snapshot,Not a cost or margin
economics,order_cost_ledger,NOT_MODELED,NOT_AVAILABLE,0,ABSENT,No verified source contract,Required before cost coverage claims
economics,reconciliation,NOT_MODELED,NOT_AVAILABLE,0,ABSENT,No verified economic reconciliation table,Do not present reconciled margin
policy,policy_registry,configuration.policies and configuration.policy_versions,rows,0,UNPOPULATED,Internal configuration,Decision strings do not resolve to governed rows
feedback,review_record,decisions.review_records and decisions.human_review_queue,rows,0,UNPOPULATED,Internal decision domain,Controls must not be exposed as functional
safety,actions_executed,multiple read and operation tables,CHECK equals 0,per record,ENFORCED,Database constraints,Aggregate measured 0
safety,production_writes,multiple read and operation tables,CHECK equals 0,per record,ENFORCED,Database constraints,Aggregate measured 0
